operation,type,snr_loss_ratio,snr_loss_percent,large_loss,next_version_int16_candidate
/model.23/cv3.1/cv3.1.0/cv3.1.0.0/conv/Conv,Conv,5.099500356209323e-06,0.0005099500356209323,False,False
/model.6/m.0/cv3/conv/Conv,Conv,4.96866466074645e-06,0.000496866466074645,False,False
/model.19/m.0/cv2/depthwise/Conv,Conv,4.805404470194695e-06,0.0004805404470194695,False,False
/model.23/cv2.1/cv2.1.1/depthwise/Conv,Conv,4.67742088024655e-06,0.000467742088024655,False,False
/model.19/m.0/cv1/depthwise/Conv,Conv,4.393231637441393e-06,0.0004393231637441393,False,False
/model.22/m.0/cv1/pointwise/Conv,Conv,4.241852764153009e-06,0.0004241852764153009,False,False
/model.6/m.0/cv1/conv/Conv,Conv,3.978259401608379e-06,0.0003978259401608379,False,False
/model.23/cv3.0/cv3.0.1/cv3.0.1.1/conv/Conv,Conv,3.942138922260104e-06,0.0003942138922260104,False,False
/model.7/cv1/conv/Conv,Conv,3.8003189928304e-06,0.00038003189928304,False,False
/model.23/cv3.2/cv3.2.2/Conv,Conv,3.6340727547212737e-06,0.00036340727547212737,False,False
/model.20/pointwise/Conv,Conv,3.3294823111873484e-06,0.00033294823111873484,False,False
/model.23/cv3.2/cv3.2.0/cv3.2.0.1/conv/Conv,Conv,3.130231921962453e-06,0.0003130231921962453,False,False
/model.23/cv3.2/cv3.2.1/cv3.2.1.0/conv/Conv,Conv,3.089667785616257e-06,0.0003089667785616257,False,False
/model.7/cv2/conv/Conv,Conv,3.028971840161414e-06,0.0003028971840161414,False,False
/model.23/cv2.2/cv2.2.0/pointwise/Conv,Conv,2.315425073599424e-06,0.00023154250735994242,False,False
/model.22/m.0/cv2/pointwise/Conv,Conv,2.2383349621198554e-06,0.00022383349621198553,False,False
/model.6/m.0/m/m.0/cv2/conv/Conv,Conv,1.937026436730586e-06,0.0001937026436730586,False,False
/model.23/cv2.2/cv2.2.1/pointwise/Conv,Conv,1.8649292504354282e-06,0.0001864929250435428,False,False
/model.6/m.0/m/m.1/cv1/conv/Conv,Conv,1.802468336216852e-06,0.0001802468336216852,False,False
/model.22/cv2/conv/Conv,Conv,1.6430761865156758e-06,0.00016430761865156757,False,False
/model.23/cv2.2/cv2.2.1/depthwise/Conv,Conv,1.5600348604039027e-06,0.00015600348604039027,False,False
/model.8/m.0/m/m.0/cv1/conv/Conv,Conv,1.5332874168845951e-06,0.0001533287416884595,False,False
/model.23/cv3.2/cv3.2.1/cv3.2.1.1/conv/Conv,Conv,1.4982339280322776e-06,0.00014982339280322776,False,False
/model.8/m.0/m/m.0/cv2/conv/Conv,Conv,1.4023207863071245e-06,0.00014023207863071246,False,False
/model.23/cv2.1/cv2.1.0/depthwise/Conv,Conv,1.2679349860415343e-06,0.00012679349860415343,False,False
/model.23/cv3.0/cv3.0.1/cv3.0.1.0/conv/Conv,Conv,1.157960667796942e-06,0.0001157960667796942,False,False
/model.6/m.0/m/m.1/cv2/conv/Conv,Conv,1.0198369400082894e-06,0.00010198369400082893,False,False
/model.8/m.0/cv3/conv/Conv,Conv,9.715899422039576e-07,9.715899422039576e-05,False,False
/model.22/m.0/cv2/depthwise/Conv,Conv,9.171313427221625e-07,9.171313427221625e-05,False,False
/model.8/m.0/m/m.1/cv1/conv/Conv,Conv,8.311089167249245e-07,8.311089167249244e-05,False,False
/model.8/m.0/cv1/conv/Conv,Conv,7.954778951842676e-07,7.954778951842675e-05,False,False
/model.20/depthwise/Conv,Conv,7.523892596357959e-07,7.523892596357959e-05,False,False
/model.22/m.0/cv1/depthwise/Conv,Conv,5.886386465666266e-07,5.886386465666266e-05,False,False
/model.8/m.0/m/m.1/cv2/conv/Conv,Conv,5.825186083126727e-07,5.8251860831267266e-05,False,False
/model.23/cv3.2/cv3.2.0/cv3.2.0.0/conv/Conv,Conv,4.6503112471896223e-07,4.650311247189622e-05,False,False
/model.23/cv2.2/cv2.2.0/depthwise/Conv,Conv,2.8067440283052747e-07,2.8067440283052747e-05,False,False
/model.6/m.0/cv2/conv/Conv,Conv,1.7005937160326692e-07,1.700593716032669e-05,False,False
/model.8/m.0/cv2/conv/Conv,Conv,3.775727348368879e-08,3.7757273483688793e-06,False,False
